Supplier_Name,Supplier_GSTIN,Invoice_Number,Invoice_Date,Invoice_Value,Taxable_Value,IGST,CGST,SGST,CESS,HSN_Code,State_Place_Of_Supply
LARSEN & TOUBRO HEAVY ENGG LTD,07AAACL0303P1ZH,LT/26-27/00456,05-08-2026,118000.00,100000.00,0.00,9000.00,9000.00,0.00,8413,07-Delhi
LARSEN & TOUBRO HEAVY ENGG LTD,07AAACL0303P1ZH,LT/26-27/00457,07-08-2026,59000.00,50000.00,0.00,4500.00,4500.00,0.00,8413,07-Delhi
TATA STEEL PROCESSING & DIST LTD,27AAACT2727Q1ZW,TATA/ST/1299,08-08-2026,295000.00,250000.00,45000.00,0.00,0.00,0.00,7208,07-Delhi
ULTRATECH CEMENT MANUFACTURING LTD,24AAACU8989M1ZU,UTCL/MUM/8902,10-08-2026,84000.00,70000.00,14000.00,0.00,0.00,0.00,2523,07-Delhi
BHARAT HEAVY ELECTRICALS LTD (BHEL),06AAACB4491J1ZT,BHEL-HYD/2026/094,12-08-2026,212400.00,180000.00,32400.00,0.00,0.00,0.00,8504,07-Delhi
SIEMENS ENERGY POWER SOLUTIONS LTD,07AAACS7731P1ZX,SIEMENS/DEL/8831,14-08-2026,141600.00,120000.00,0.00,10800.00,10800.00,0.00,8504,07-Delhi
KIRLOSKAR BROTHERS PUMP WORKS LTD,27AAACK5512K1ZV,KB/26/5541,16-08-2026,94400.00,80000.00,14400.00,0.00,0.00,0.00,8413,07-Delhi
SUPREME INDUSTRIES LTD,27AAZCS4613R1ZW,INV/26-27/0451,15-08-2026,11800.00,10000.00,1800.00,0.00,0.00,0.00,3901,07-Delhi
THERMAX SUSTAINABLE SOLUTIONS LTD,27AAACT9901M1ZA,THX/2026/9981,18-08-2026,177000.00,150000.00,27000.00,0.00,0.00,0.00,8413,07-Delhi
PIDILITE SPECIALITY CHEMICALS LTD,24AAACP3321L1ZB,PID/26-27/0129,20-08-2026,47200.00,40000.00,7200.00,0.00,0.00,0.00,3901,07-Delhi
HAVELLS ELECTRICALS DISTRIBUTION LTD,07AAACH6654N1ZC,HVL-DL/2026/774,22-08-2026,82600.00,70000.00,0.00,6300.00,6300.00,0.00,8504,07-Delhi
