Vendor GSTIN,Vendor Name,Bill#,Bill Date,Item Total,IGST Amount,CGST Amount,SGST Amount,Cess,Bill Total,Destination State,Doc Type
07AAACU9090F1ZY,UltraTech Cement Limited,INV-2026-10001,2026-08-02,11127.64,2002.98,0.0,0.0,0.0,13130.62,07,INV
06AAACI2020M1ZT,Indian Oil Corporation Ltd,INV-2026-10002,2026-08-04,59686.63,10743.59,0.0,0.0,0.0,70430.22,06,INV
27AAACT0101E1ZZ,Tata Consultancy Services Ltd,INV-2026-10003,2026-08-02,170791.37,0.0,15371.22,15371.22,0.0,201533.81,27,INV
36AAACN3434B1ZC,NTPC Limited,INV-2026-10004,2026-08-09,26300.01,4734.0,0.0,0.0,0.0,31034.01,36,INV
29AAACW3030K1ZU,Wipro Enterprises Pvt Ltd,INV-2026-10005,2026-08-01,12300.32,2214.06,0.0,0.0,0.0,14514.38,29,INV
29AAACI1010N1ZS,Infosys Limited,INV-2026-10006,2026-08-04,128812.05,23186.17,0.0,0.0,0.0,151998.22,29,INV
27AAACT2727Q1ZW,Tata Steel Limited,INV-2026-10007,2026-08-09,53715.22,0.0,4834.37,4834.37,0.0,63383.96,27,INV
07AAACU9090F1ZY,UltraTech Cement Limited,INV-2026-10008,2026-08-12,138510.66,24931.92,0.0,0.0,0.0,163442.58,07,INV
29AAACI1010N1ZS,Infosys Limited,INV-2026-10009,2026-08-08,149370.09,26886.62,0.0,0.0,0.0,176256.71,29,INV
03AAACG1212D1ZA,Grasim Industries Limited,INV-2026-10010,2026-08-14,6592.2,1186.6,0.0,0.0,0.0,7778.8,03,INV
03AAACG1212D1ZA,Grasim Industries Limited,INV-2026-10011,2026-08-03,176044.15,31687.95,0.0,0.0,0.0,207732.1,03,INV
24AAACA4040L1ZP,Adani Ports & SEZ Ltd,INV-2026-10012,2026-08-05,43092.48,7756.65,0.0,0.0,0.0,50849.13,24,INV
03AAACG1212D1ZA,Grasim Industries Limited,INV-2026-10013,2026-08-06,30041.52,5407.47,0.0,0.0,0.0,35448.99,03,INV
29AAACW3030K1ZU,Wipro Enterprises Pvt Ltd,INV-2026-10014,2026-08-02,92949.95,16730.99,0.0,0.0,0.0,109680.94,29,INV
24AAACA4040L1ZP,Adani Ports & SEZ Ltd,INV-2026-10015,2026-08-10,69807.61,12565.37,0.0,0.0,0.0,82372.98,24,INV
27AAACT2727Q1ZW,Tata Steel Limited,INV-2026-10016,2026-08-12,117559.1,0.0,10580.32,10580.32,0.0,138719.74,27,INV
24AAACR5055K1ZX,Reliance Industries Limited,INV-2026-10017,2026-08-07,24306.05,4375.09,0.0,0.0,0.0,28681.14,24,INV
06AAACI2020M1ZT,Indian Oil Corporation Ltd,INV-2026-10018,2026-08-14,159016.75,28623.01,0.0,0.0,0.0,187639.76,06,INV
36AAACN3434B1ZC,NTPC Limited,INV-2026-10019,2026-08-14,93600.58,16848.1,0.0,0.0,0.0,110448.68,36,INV
29AAACI1010N1ZS,Infosys Limited,INV-2026-10020,2026-08-12,22041.01,3967.38,0.0,0.0,0.0,26008.39,29,INV
07AAACU9090F1ZY,UltraTech Cement Limited,INV-2026-10021,2026-08-04,194401.74,34992.31,0.0,0.0,0.0,229394.05,07,INV
24AAACR5055K1ZX,Reliance Industries Limited,INV-2026-10022,2026-08-14,62033.77,11166.08,0.0,0.0,0.0,73199.85,24,INV
24AAACR5055K1ZX,Reliance Industries Limited,INV-2026-10023,2026-08-07,73103.53,13158.64,0.0,0.0,0.0,86262.17,24,INV
07AAACU9090F1ZY,UltraTech Cement Limited,INV-2026-10024,2026-08-14,94383.88,16989.1,0.0,0.0,0.0,111372.98,07,INV
24AAACA4040L1ZP,Adani Ports & SEZ Ltd,INV-2026-10025,2026-08-06,56329.22,10139.26,0.0,0.0,0.0,66468.48,24,INV
06AAACI2020M1ZT,Indian Oil Corporation Ltd,INV-2026-10026,2026-08-12,234480.37,42206.47,0.0,0.0,0.0,276686.84,06,INV
07AAACU9090F1ZY,UltraTech Cement Limited,INV-2026-10027,2026-08-02,154237.1,27762.68,0.0,0.0,0.0,181999.78,07,INV
07AAACL0303P1ZH,Larsen & Toubro Ltd,INV-2026-10028,2026-08-09,183636.07,33054.49,0.0,0.0,0.0,216690.56,07,INV
07AAACL0303P1ZH,Larsen & Toubro Ltd,INV-2026-10029,2026-08-08,97966.58,17633.98,0.0,0.0,0.0,115600.56,07,INV
36AAACN3434B1ZC,NTPC Limited,INV-2026-10030,2026-08-11,173599.68,31247.94,0.0,0.0,0.0,204847.62,36,INV
29AAACI1010N1ZS,Infosys Limited,INV-2026-10031,2026-08-11,84449.27,15200.87,0.0,0.0,0.0,99650.14,29,INV
03AAACG1212D1ZA,Grasim Industries Limited,INV-2026-10032,2026-08-13,18704.8,3366.86,0.0,0.0,0.0,22071.66,03,INV
23AAACB2323C1ZB,Bharat Petroleum Corp Ltd,INV-2026-10033,2026-08-01,202236.22,36402.52,0.0,0.0,0.0,238638.74,23,INV
29AAACW3030K1ZU,Wipro Enterprises Pvt Ltd,INV-2026-10034,2026-08-05,21216.21,3818.92,0.0,0.0,0.0,25035.13,29,INV
36AAACN3434B1ZC,NTPC Limited,INV-2026-10035,2026-08-10,219710.07,39547.81,0.0,0.0,0.0,259257.88,36,INV
24AAACA4040L1ZP,Adani Ports & SEZ Ltd,INV-2026-10036,2026-08-04,165582.47,29804.84,0.0,0.0,0.0,195387.31,24,INV
29AAACW3030K1ZU,Wipro Enterprises Pvt Ltd,INV-2026-10037,2026-08-11,117418.7,21135.37,0.0,0.0,0.0,138554.07,29,INV
06AAACI2020M1ZT,Indian Oil Corporation Ltd,INV-2026-10038,2026-08-03,65423.74,11776.27,0.0,0.0,0.0,77200.01,06,INV
33AAACM7070H1ZW,Mahindra & Mahindra Ltd,INV-2026-10039,2026-08-09,69371.69,12486.9,0.0,0.0,0.0,81858.59,33,INV
19AAACH8080G1ZX,Hindustan Unilever Limited,INV-2026-10040,2026-08-07,224966.61,40493.99,0.0,0.0,0.0,265460.6,19,INV
29AAACW3030K1ZU,Wipro Enterprises Pvt Ltd,INV-2026-10041,2026-08-06,58733.59,10572.05,0.0,0.0,0.0,69305.64,29,INV
07AAACL0303P1ZH,Larsen & Toubro Ltd,INV-2026-10042,2026-08-09,125911.38,22664.05,0.0,0.0,0.0,148575.43,07,INV
03AAACG1212D1ZA,Grasim Industries Limited,INV-2026-10043,2026-08-01,215970.21,38874.64,0.0,0.0,0.0,254844.85,03,INV
07AAACL0303P1ZH,Larsen & Toubro Ltd,INV-2026-10044,2026-08-11,44195.59,7955.21,0.0,0.0,0.0,52150.8,07,INV
07AAACU9090F1ZY,UltraTech Cement Limited,INV-2026-10045,2026-08-07,151120.21,27201.64,0.0,0.0,0.0,178321.85,07,INV
29AAACW3030K1ZU,Wipro Enterprises Pvt Ltd,INV-2026-10046,2026-08-07,150992.66,27178.68,0.0,0.0,0.0,178171.34,29,INV
